序号,行ID,角色,类别,章节,原文,规范化文本,已改写,被替换字符,输出音频,切片文件,字数
1,prologue_bridge.dialogue.01,檐下谱,开场对话,序章·风雨廊桥,雨停了。你醒在桥心，手中只有一本空白册子，封底写着：请把故事交还给愿意听的人。,雨停了。你醒在桥心，手中只有一本空白册子，封底写着，请把故事交还给愿意听的人。,是,：,prologue_bridge_dialogue_01.wav,03-檐下谱/001-prologue_bridge.dialogue.01.txt,39
2,prologue_bridge.dialogue.02,拓印师,开场对话,序章·风雨廊桥,我的名字也被雨洗掉了吗？,我的名字也被雨洗掉了吗。,是,？,prologue_bridge_dialogue_02.wav,02-拓印师/002-prologue_bridge.dialogue.02.txt,12
3,prologue_bridge.dialogue.03,廊桥,开场对话,序章·风雨廊桥,名字可以慢慢找。先帮我记住两个字——平安。桥栏已经快认不出回家的脚步了。,名字可以慢慢找。先帮我记住两个字，平安。桥栏已经快认不出回家的脚步了。,是,—,prologue_bridge_dialogue_03.wav,08-廊桥/003-prologue_bridge.dialogue.03.txt,35
4,prologue_bridge.dialogue.04,拓印师,开场对话,序章·风雨廊桥,只要把字重新写上，你就会好起来？,只要把字重新写上，你就会好起来。,是,？,prologue_bridge_dialogue_04.wav,02-拓印师/004-prologue_bridge.dialogue.04.txt,16
5,prologue_bridge.dialogue.05,廊桥,开场对话,序章·风雨廊桥,字是门，走过这里的人才是屋里的灯。去看看断檐、桥心和桥栏，你会知道该留下什么。,字是门，走过这里的人才是屋里的灯。去看看断檐、桥心和桥栏，你会知道该留下什么。,,,prologue_bridge_dialogue_05.wav,08-廊桥/005-prologue_bridge.dialogue.05.txt,39
6,prologue_bridge.dialogue.06,拓印师,开场对话,序章·风雨廊桥,好。我先听你说完，再落笔。,好。我先听你说完，再落笔。,,,prologue_bridge_dialogue_06.wav,02-拓印师/006-prologue_bridge.dialogue.06.txt,13
7,prologue_bridge.clue.01,旁白,调查线索,序章·风雨廊桥,断檐下面留着一块干燥的地方。桥曾替赶路的人遮雨，而不仅是让他们过河。,断檐下面留着一块干燥的地方。桥曾替赶路的人遮雨，而不仅是让他们过河。,,,prologue_bridge_clue_01.wav,01-旁白/007-prologue_bridge.clue.01.txt,34
8,prologue_bridge.clue.02,旁白,调查线索,序章·风雨廊桥,刻痕里压着许多细小补笔。‘平安’不是一人写成，而是一代代行人续上的祝愿。,刻痕里压着许多细小补笔。平安不是一人写成，而是一代代行人续上的祝愿。,是,‘’,prologue_bridge_clue_02.wav,01-旁白/008-prologue_bridge.clue.02.txt,34
9,prologue_bridge.clue.03,旁白,调查线索,序章·风雨廊桥,桥栏磨出了孩子手掌的高度。送别的人总在这里等，直到远处有人挥手。,桥栏磨出了孩子手掌的高度。送别的人总在这里等，直到远处有人挥手。,,,prologue_bridge_clue_03.wav,01-旁白/009-prologue_bridge.clue.03.txt,32
10,prologue_bridge.beat.01,拓印师,调查呓语,序章·风雨廊桥,我的名字也被雨洗掉了吗？,我的名字也被雨洗掉了吗。,是,？,prologue_bridge_beat_01.wav,02-拓印师/010-prologue_bridge.beat.01.txt,12
11,prologue_bridge.beat.02,廊桥,调查呓语,序章·风雨廊桥,名字可以慢慢找。先帮我记住两个字——平安。桥栏已经快认不出回家的脚步了。,名字可以慢慢找。先帮我记住两个字，平安。桥栏已经快认不出回家的脚步了。,是,—,prologue_bridge_beat_02.wav,08-廊桥/011-prologue_bridge.beat.02.txt,35
12,prologue_bridge.beat.03,拓印师,调查呓语,序章·风雨廊桥,只要把字重新写上，你就会好起来？,只要把字重新写上，你就会好起来。,是,？,prologue_bridge_beat_03.wav,02-拓印师/012-prologue_bridge.beat.03.txt,16
