行ID,类别,章节,事件,说话人,台词,状态,现有音频,所属音频组,建议音频文件名,字数
"prologue_bridge.dialogue.01","开场对话","序章·风雨廊桥","prologue_bridge","檐下谱","雨停了。你醒在桥心，手中只有一本空白册子，封底写着：请把故事交还给愿意听的人。","待新增","","","prologue_bridge_dialogue_01.wav",39
"prologue_bridge.dialogue.02","开场对话","序章·风雨廊桥","prologue_bridge","拓印师","我的名字也被雨洗掉了吗？","待新增","","","prologue_bridge_dialogue_02.wav",12
"prologue_bridge.dialogue.03","开场对话","序章·风雨廊桥","prologue_bridge","廊桥","名字可以慢慢找。先帮我记住两个字——平安。桥栏已经快认不出回家的脚步了。","待新增","","","prologue_bridge_dialogue_03.wav",36
"prologue_bridge.dialogue.04","开场对话","序章·风雨廊桥","prologue_bridge","拓印师","只要把字重新写上，你就会好起来？","待新增","","","prologue_bridge_dialogue_04.wav",16
"prologue_bridge.dialogue.05","开场对话","序章·风雨廊桥","prologue_bridge","廊桥","字是门，走过这里的人才是屋里的灯。去看看断檐、桥心和桥栏，你会知道该留下什么。","待新增","","","prologue_bridge_dialogue_05.wav",39
"prologue_bridge.dialogue.06","开场对话","序章·风雨廊桥","prologue_bridge","拓印师","好。我先听你说完，再落笔。","待新增","","","prologue_bridge_dialogue_06.wav",13
"prologue_bridge.clue.01","调查线索","序章·风雨廊桥","prologue_bridge","","断檐下面留着一块干燥的地方。桥曾替赶路的人遮雨，而不仅是让他们过河。","待新增","","","prologue_bridge_clue_01.wav",34
"prologue_bridge.clue.02","调查线索","序章·风雨廊桥","prologue_bridge","","刻痕里压着许多细小补笔。‘平安’不是一人写成，而是一代代行人续上的祝愿。","待新增","","","prologue_bridge_clue_02.wav",36
"prologue_bridge.clue.03","调查线索","序章·风雨廊桥","prologue_bridge","","桥栏磨出了孩子手掌的高度。送别的人总在这里等，直到远处有人挥手。","待新增","","","prologue_bridge_clue_03.wav",32
"prologue_bridge.beat.01","调查呓语","序章·风雨廊桥","prologue_bridge","拓印师","我的名字也被雨洗掉了吗？","已有配音","prologue_bridge.wav","prologue_bridge.wav","prologue_bridge_beat_01.wav",12
"prologue_bridge.beat.02","调查呓语","序章·风雨廊桥","prologue_bridge","廊桥","名字可以慢慢找。先帮我记住两个字——平安。桥栏已经快认不出回家的脚步了。","已有配音","prologue_bridge.wav","prologue_bridge.wav","prologue_bridge_beat_02.wav",36
"prologue_bridge.beat.03","调查呓语","序章·风雨廊桥","prologue_bridge","拓印师","只要把字重新写上，你就会好起来？","已有配音","prologue_bridge.wav","prologue_bridge.wav","prologue_bridge_beat_03.wav",16
"prologue_bridge.before_battle.01","战前对话","序章·风雨廊桥","prologue_bridge","廊桥","白蚀正扑向刚显影的刻字。别急，先用斗拱承住，再挥墨驱散它。","待新增","","","prologue_bridge_before_battle.wav",29
"prologue_bridge.keep_response.01","记住回应","序章·风雨廊桥","prologue_bridge","廊桥","你记住的不是我的年岁，是有人盼着归来。斗拱的力，借你撑下一程。","待新增","","","prologue_bridge_keep.wav",31
"prologue_bridge.forget_response.01","遗忘回应","序章·风雨廊桥","prologue_bridge","廊桥","你也许忘了谁曾在这里等候，但学会的守护还留在手里。","待新增","","","prologue_bridge_forget.wav",25
"prologue_bridge.outro.01","事件结语","序章·风雨廊桥","prologue_bridge","","你把‘平安’收入檐下谱，桥栏重新染上旧木的暖色。雾后露出一条山路，路尽头的社庙正传来细弱的咳声。","待新增","","","prologue_bridge_outro.wav",48
"prologue_bridge.echo.01","墨灵回声","序章·风雨廊桥","prologue_bridge","墨灵回声","桥记着每一次送别与归来。","已有配音","yan_ping_an.wav","yan_ping_an.wav（墨灵：檐·平安）","yan_ping_an.wav",12
"temple_incense.dialogue.01","开场对话","第一章·社庙","temple_incense","檐下谱","社庙正殿的主梁悬在半空。梁下并排放着几只大小不同的旧碗。","待新增","","","temple_incense_dialogue_01.wav",28
"temple_incense.dialogue.02","开场对话","第一章·社庙","temple_incense","社庙","他们凑不出一根好木头，就把各家的余料抬来。那年春社，屋顶总算没有漏雨。","待新增","","","temple_incense_dialogue_02.wav",35
"temple_incense.dialogue.03","开场对话","第一章·社庙","temple_incense","拓印师","我以为你记着的是香火。","待新增","","","temple_incense_dialogue_03.wav",11
"temple_incense.dialogue.04","开场对话","第一章·社庙","temple_incense","社庙","也记着。可香下面，是来修屋顶的人。别只擦亮香炉，抬头看看梁。","待新增","","","temple_incense_dialogue_04.wav",30
"temple_incense.dialogue.05","开场对话","第一章·社庙","temple_incense","拓印师","榫口还在，按左、中、右的承重点归位，就能撑起来。","待新增","","","temple_incense_dialogue_05.wav",24
"temple_incense.dialogue.06","开场对话","第一章·社庙","temple_incense","社庙","替我把这份齐心记住。香可以再点，肯一起动手的人不该被忘掉。","待新增","","","temple_incense_dialogue_06.wav",29
"temple_incense.clue.01","调查线索","第一章·社庙","temple_incense","","倾倒香炉下有一圈新旧不同的灰。有人在村子渐空后仍回来看过。","待新增","","","temple_incense_clue_01.wav",29
