Godot Engine v4.5.2.stable.official.6ce3de25a - https://godotengine.org

[   0% ] first_scan_filesystem | Started 项目初始化 (5 steps)
[   0% ] first_scan_filesystem | 正在扫描文件结构……
[  16% ] first_scan_filesystem | 正在加载全局类名……
[  33% ] first_scan_filesystem | 正在校验 GDExtension……
[  50% ] first_scan_filesystem | 正在创建自动加载脚本……
[  66% ] first_scan_filesystem | 正在初始化插件……
[  83% ] first_scan_filesystem | 正在启动文件扫描……
[ DONE ] first_scan_filesystem

[   0% ] update_scripts_classes | Started 正在注册全局类…… (2 steps)
[   0% ] update_scripts_classes | 
[  33% ] update_scripts_classes | 
[ DONE ] update_scripts_classes

[   0% ] savepack | Started 打包中 (102 steps)
[   1% ] savepack | 保存文件：res://.godot/imported/ambience.wav-c4e6e35e7a9e0e868516f43e62765e9c.sample
[   1% ] savepack | 保存文件：res://assets/audio/ambience.wav.import
[   1% ] savepack | 保存文件：res://.godot/imported/battle.wav-591619e226ad72dffbfe813ea62f286f.sample
[   1% ] savepack | 保存文件：res://assets/audio/battle.wav.import
[   1% ] savepack | 保存文件：res://.godot/imported/hit.wav-96dc477cdf4a42f381370dba6e3f75ce.sample
[   1% ] savepack | 保存文件：res://assets/audio/hit.wav.import
[   2% ] savepack | 保存文件：res://.godot/imported/ink.wav-1b740df01bcd109deb50e37cb5351292.sample
[   2% ] savepack | 保存文件：res://assets/audio/ink.wav.import
[   2% ] savepack | 保存文件：res://.godot/imported/repair.wav-8a2cf68f778f018ee037ee623bf556eb.sample
[   2% ] savepack | 保存文件：res://assets/audio/repair.wav.import
[   2% ] savepack | 保存文件：res://.godot/imported/ui.wav-d54e8bc37b8ccee18240932350cecc18.sample
[   2% ] savepack | 保存文件：res://assets/audio/ui.wav.import
[   3% ] savepack | 保存文件：res://.godot/imported/win.wav-ed9b591a574a24bf30e29686ed78ad6a.sample
[   3% ] savepack | 保存文件：res://assets/audio/win.wav.import
[   3% ] savepack | 保存文件：res://.godot/imported/fang_jiang_hun.wav-902afd17327d54947f872af9e623bfc0.sample
[   3% ] savepack | 保存文件：res://assets/echo/fang_jiang_hun.wav.import
[   4% ] savepack | 保存文件：res://.godot/imported/fang_wu_ming.wav-f65865b1d6bd8182ab79aa7357b68ede.sample
[   4% ] savepack | 保存文件：res://assets/echo/fang_wu_ming.wav.import
[   4% ] savepack | 保存文件：res://.godot/imported/prologue_bridge.wav-9815d24fe5aa886df7bd771780595a10.sample
[   4% ] savepack | 保存文件：res://assets/echo/prologue_bridge.wav.import
