行ID,角色,类别,文本,音频,时长秒
prologue_bridge.dialogue.01,檐下谱,开场对话,雨停了。你醒在桥心，手中只有一本空白册子，封底写着，请把故事交还给愿意听的人。,檐下谱/prologue_bridge_dialogue_01.wav,7.18
prologue_bridge.dialogue.02,拓印师,开场对话,我的名字也被雨洗掉了吗。,拓印师/prologue_bridge_dialogue_02.wav,2.17
prologue_bridge.dialogue.04,拓印师,开场对话,只要把字重新写上，你就会好起来。,拓印师/prologue_bridge_dialogue_04.wav,2.82
prologue_bridge.dialogue.06,拓印师,开场对话,好。我先听你说完，再落笔。,拓印师/prologue_bridge_dialogue_06.wav,2.63
prologue_bridge.dialogue.03,廊桥,开场对话,名字可以慢慢找。先帮我记住两个字，平安。桥栏已经快认不出回家的脚步了。,廊桥/prologue_bridge_dialogue_03.wav,5.89
prologue_bridge.dialogue.05,廊桥,开场对话,字是门，走过这里的人才是屋里的灯。去看看断檐、桥心和桥栏，你会知道该留下什么。,廊桥/prologue_bridge_dialogue_05.wav,6.81
prologue_bridge.clue.01,旁白,调查线索,断檐下面留着一块干燥的地方。桥曾替赶路的人遮雨，而不仅是让他们过河。,旁白/prologue_bridge_clue_01.wav,6.25
prologue_bridge.clue.02,旁白,调查线索,刻痕里压着许多细小补笔。平安不是一人写成，而是一代代行人续上的祝愿。,旁白/prologue_bridge_clue_02.wav,6.34
temple_incense.dialogue.01,檐下谱,开场对话,社庙正殿的主梁悬在半空。梁下并排放着几只大小不同的旧碗。,檐下谱/temple_incense_dialogue_01.wav,5.55
temple_guest.dialogue.01,檐下谱,开场对话,侧厢门楣缺了一个字，只剩，安。半碗冷饭旁叠着一件补过的蓑衣。,檐下谱/temple_guest_dialogue_01.wav,6.21
temple_drum.dialogue.01,檐下谱,开场对话,前坪的社鼓蒙着白斑。槌柄上缠着一截褪色红绳，树下有深浅不同的脚印。,檐下谱/temple_drum_dialogue_01.wav,6.47
opera_opening.dialogue.01,檐下谱,开场对话,戏楼里只亮着一盏台灯。水袖从行头箱垂下，锣鼓声总少了半拍。,檐下谱/opera_opening_dialogue_01.wav,5.60
opera_master.dialogue.01,檐下谱,开场对话,后台并排放着一双大戏鞋和一双小戏鞋。布景散落，旧戏服仍朝着台口。,檐下谱/opera_master_dialogue_01.wav,6.12
archway_form.dialogue.01,檐下谱,开场对话,牌坊横跨旧道，碑额上的名字十分清楚，柱脚的凿痕却几乎消失。,檐下谱/archway_form_dialogue_01.wav,5.32
archway_craftsman.dialogue.01,檐下谱,开场对话,背面的营造记录写满尺寸，署名处却空着。凿子与木屑落在石台边。,檐下谱/archway_craftsman_dialogue_01.wav,5.60
tower_ascent.dialogue.01,檐下谱,开场对话,墨塔每层都收着被删去的谱页。越往上，纸越白，人的轮廓也越淡。,檐下谱/tower_ascent_dialogue_01.wav,5.57
tower_ledger.dialogue.01,檐下谱,开场对话,长廊摆着你亲手拓下的记忆，也摆着你亲手放开的空页。两者都没有消失过。,檐下谱/tower_ledger_dialogue_01.wav,6.36
tower_ledger.keep_response.01,檐下谱,记住回应,这本谱终于有了最后一页，但没有写终。,檐下谱/tower_ledger_keep.wav,3.72
tower_ledger.forget_response.01,檐下谱,遗忘回应,你为新页放下了一段旧声。它仍在账册里，提醒后来的人，这只是你的一种选择。,檐下谱/tower_ledger_forget.wav,6.77
failure_scene.failure.01,檐下谱,失败结局,你退到了飞鸟山。这条石阶上，落着所有没能带回去的记忆。,檐下谱/failure_line_01.wav,4.83
failure_scene.failure_first.01,檐下谱,失败结局首句,你退到了飞鸟山。墨已经耗干了。,檐下谱/failure_first_erosion_limit.wav,3.23
failure_scene.failure_first.02,檐下谱,失败结局首句,你退到了飞鸟山。这一回，你的手抖得太厉害了。,檐下谱/failure_first_puzzle_attempt_limit.wav,4.36
failure_scene.failure_first.03,檐下谱,失败结局首句,你退到了飞鸟山。白蚀还在，你的手已经抬不起来了。,檐下谱/failure_first_battle_requirements_not_met.wav,4.78
failure_scene.failure_first.04,檐下谱,失败结局首句,你退到了飞鸟山。这段路，你走得太久了。,檐下谱/failure_first_session_expired.wav,3.78
prologue_bridge.beat.01,拓印师,调查呓语,我的名字也被雨洗掉了吗。,拓印师/prologue_bridge_beat_01.wav,2.12
prologue_bridge.beat.03,拓印师,调查呓语,只要把字重新写上，你就会好起来。,拓印师/prologue_bridge_beat_03.wav,2.86
temple_incense.dialogue.03,拓印师,开场对话,我以为你记着的是香火。,拓印师/temple_incense_dialogue_03.wav,1.97
temple_incense.dialogue.05,拓印师,开场对话,榫口还在，按左、中、右的承重点归位，就能撑起来。,拓印师/temple_incense_dialogue_05.wav,4.33
temple_incense.beat.02,拓印师,调查呓语,我以为你记着的是香火。,拓印师/temple_incense_beat_02.wav,1.95
temple_guest.dialogue.03,拓印师,开场对话,他认得你吗。,拓印师/temple_guest_dialogue_03.wav,1.09
temple_guest.dialogue.05,拓印师,开场对话,不是热闹的平安，是让陌生人也能宁静下来。缺的是宁。,拓印师/temple_guest_dialogue_05.wav,4.51
temple_guest.beat.02,拓印师,调查呓语,他认得你吗。,拓印师/temple_guest_beat_02.wav,1.07
temple_drum.dialogue.03,拓印师,开场对话,你等的是春天，还是一起回来的人。,拓印师/temple_drum_dialogue_03.wav,3.31
temple_drum.dialogue.06,拓印师,开场对话,这回不用等谁来敲第一下。我们一起。,拓印师/temple_drum_dialogue_06.wav,3.06
temple_drum.beat.02,拓印师,调查呓语,你等的是春天，还是一起回来的人。,拓印师/temple_drum_beat_02.wav,3.18
opera_opening.dialogue.03,拓印师,开场对话,总得有人先开口。,拓印师/opera_opening_dialogue_03.wav,1.43
opera_opening.dialogue.05,拓印师,开场对话,你最想唱给谁听。,拓印师/opera_opening_dialogue_05.wav,1.44
opera_opening.beat.02,拓印师,调查呓语,总得有人先开口。,拓印师/opera_opening_beat_02.wav,1.43
opera_master.dialogue.03,拓印师,开场对话,因为那句不够好听。,拓印师/opera_master_dialogue_03.wav,1.71
opera_master.dialogue.05,拓印师,开场对话,我会把梅字台步与中央布景归好，也记住那个还在学的人。,拓印师/opera_master_dialogue_05.wav,4.74
opera_master.beat.02,拓印师,调查呓语,因为那句不够好听。,拓印师/opera_master_beat_02.wav,1.65
archway_form.dialogue.03,拓印师,开场对话,四根柱子，三处开间。把中央构件归位，重量才传得到两侧。,拓印师/archway_form_dialogue_03.wav,4.84
archway_form.dialogue.05,拓印师,开场对话,建造它的人，为什么没有自己的位置。,拓印师/archway_form_dialogue_05.wav,2.99
archway_form.beat.02,拓印师,调查呓语,四根柱子，三处开间。把中央构件归位，重量才传得到两侧。,拓印师/archway_form_beat_02.wav,4.84
archway_craftsman.dialogue.03,拓印师,开场对话,可我还是想替你补上。,拓印师/archway_craftsman_dialogue_03.wav,1.86
archway_craftsman.dialogue.05,拓印师,开场对话,用斗拱承住构件，再借飞檐点亮高处刻痕。让别人也能照着修。,拓印师/archway_craftsman_dialogue_05.wav,5.88
archway_craftsman.beat.02,拓印师,调查呓语,可我还是想替你补上。,拓印师/archway_craftsman_beat_02.wav,1.82
tower_ascent.dialogue.03,拓印师,开场对话,可你也抹去了为什么相助，为什么重建，为什么等一个人回来。,拓印师/tower_ascent_dialogue_03.wav,4.95
tower_ascent.dialogue.05,拓印师,开场对话,因为活着的人会难过，也会改变。你替他们删掉了再次选择的来路。,拓印师/tower_ascent_dialogue_05.wav,5.53
tower_ascent.beat.02,拓印师,调查呓语,可你也抹去了为什么相助，为什么重建，为什么等一个人回来。,拓印师/tower_ascent_beat_02.wav,5.06
tower_ledger.dialogue.02,拓印师,开场对话,我来时想找回自己的名字，后来却一直在替别人留下声音。,拓印师/tower_ledger_dialogue_02.wav,4.83
tower_ledger.dialogue.06,拓印师,开场对话,我会留下能够证实的记忆，也留下空白。愿意接笔的人，请从自己的故事开始。,拓印师/tower_ledger_dialogue_06.wav,6.28
tower_ledger.beat.01,拓印师,调查呓语,我来时想找回自己的名字，后来却一直在替别人留下声音。,拓印师/tower_ledger_beat_01.wav,4.82
failure_scene.failure.02,拓印师,失败结局,只差最后一步。构件归位了，墨线描完了，白蚀也散了。,拓印师/failure_line_02.wav,5.33
failure_scene.failure.04,拓印师,失败结局,我把你修回原来的样子，哪里不对。,拓印师/failure_line_04.wav,3.33
failure_scene.failure.06,拓印师,失败结局,我只是不想让你们再忘下去。,拓印师/failure_line_06.wav,3.40
prologue_bridge.beat.02,廊桥,调查呓语,名字可以慢慢找。先帮我记住两个字，平安。桥栏已经快认不出回家的脚步了。,廊桥/prologue_bridge_beat_02.wav,6.19
prologue_bridge.before_battle.01,廊桥,战前对话,白蚀正扑向刚显影的刻字。别急，先用斗拱承住，再挥墨驱散它。,廊桥/prologue_bridge_before_battle.wav,5.23
prologue_bridge.keep_response.01,廊桥,记住回应,你记住的不是我的年岁，是有人盼着归来。斗拱的力，借你撑下一程。,廊桥/prologue_bridge_keep.wav,5.39
prologue_bridge.forget_response.01,廊桥,遗忘回应,你也许忘了谁曾在这里等候，但学会的守护还留在手里。,廊桥/prologue_bridge_forget.wav,4.36
